State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Year, Program(s), EPA Region, NERC Region, County, County Code, FIPS Code, Source Category, Facility Latitude, Facility Longitude, Owner, Operator, Representative (Primary), Representative (Secondary), SO2 Phase, NOx Phase, Unit Type, Fuel Type (Primary), Fuel Type (Secondary), SO2 Control(s), NOx Control(s), PM Control(s), Hg Control(s), Commercial Operation Date, Operating Status, Max Hourly HI Rate (MMBtu/hr)
"NY","Astoria Gas Turbine Power","55243","CT2-3A",,"2012","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603) (Ended Aug 22, 2012)<br>John Christian Colucci (606772) (Started Aug 22, 2012) (Ended Dec 19, 2012)<br>Orlando L Cartagena (500603) (Started Dec 19, 2012)","John Christian Colucci (606772) (Started Aug 22, 2012) (Ended Aug 22, 2012)<br>Orlando L Cartagena (500603) (Started Aug 22, 2012) (Ended Dec 19, 2012)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-3A",,"2013","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)","Leslie E Ross (1680) (Started Feb 25, 2013)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-3A","CP0002","2014","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)","Leslie E Ross (1680) (Ended Feb 12, 2014)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-3A","CP0002","2015","CSNOX, CSNOXOS, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)",,,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-3A","CP0002","2016","CSNOX, CSNOXOS, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)","Andrew Scano (601596) (Started Sep 19, 2016)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-3A","CP0002","2017","CSNOX, CSOSG2, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)","Andrew Scano (601596)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-3A","CP0002","2018","CSNOX, CSOSG2, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603) (Ended Jun 08, 2018)<br>Andrew Scano (601596) (Started Jun 08, 2018)<br>Frank Ameo (1243) (Started Jun 08, 2018) (Ended Jun 08, 2018)","Andrew Scano (601596) (Ended Jun 08, 2018)<br>Frank Ameo (1243) (Started Jun 08, 2018)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-3A","CP0002","2019","CSNOX, CSOSG2, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Andrew Scano (601596)","Frank Ameo (1243)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-3A","CP0002","2020","CSNOX, CSOSG2, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC, Astoria Gas Turbine Power LLC","Astoria Energy, LLC, Astoria Gas Turbine Power LLC","Andrew Scano (601596)","Frank Ameo (1243)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-3B",,"2009","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Christian Lyhus (604674) (Started Apr 02, 2009)",,,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-3B",,"2010","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Christian Lyhus (604674) (Ended Mar 16, 2010)<br>John P Robertson (603905) (Started Mar 16, 2010)",,,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-3B",,"2011","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","John P Robertson (603905) (Ended Sep 28, 2011)<br>Orlando L Cartagena (500603) (Started Sep 28, 2011)",,,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-3B",,"2012","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603) (Ended Aug 22, 2012)<br>John Christian Colucci (606772) (Started Aug 22, 2012) (Ended Dec 19, 2012)<br>Orlando L Cartagena (500603) (Started Dec 19, 2012)","John Christian Colucci (606772) (Started Aug 22, 2012) (Ended Aug 22, 2012)<br>Orlando L Cartagena (500603) (Started Aug 22, 2012) (Ended Dec 19, 2012)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-3B",,"2013","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)","Leslie E Ross (1680) (Started Feb 25, 2013)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-3B","CP0002","2014","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)","Leslie E Ross (1680) (Ended Feb 12, 2014)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-3B","CP0002","2015","CSNOX, CSNOXOS, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)",,,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-3B","CP0002","2016","CSNOX, CSNOXOS, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)","Andrew Scano (601596) (Started Sep 19, 2016)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-3B","CP0002","2017","CSNOX, CSOSG2, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)","Andrew Scano (601596)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-3B","CP0002","2018","CSNOX, CSOSG2, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603) (Ended Jun 08, 2018)<br>Andrew Scano (601596) (Started Jun 08, 2018)<br>Frank Ameo (1243) (Started Jun 08, 2018) (Ended Jun 08, 2018)","Andrew Scano (601596) (Ended Jun 08, 2018)<br>Frank Ameo (1243) (Started Jun 08, 2018)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-3B","CP0002","2019","CSNOX, CSOSG2, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Andrew Scano (601596)","Frank Ameo (1243)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-3B","CP0002","2020","CSNOX, CSOSG2, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC, Astoria Gas Turbine Power LLC","Astoria Energy, LLC, Astoria Gas Turbine Power LLC","Andrew Scano (601596)","Frank Ameo (1243)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4A",,"2009","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Christian Lyhus (604674) (Started Apr 02, 2009)",,,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4A",,"2010","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Christian Lyhus (604674) (Ended Mar 16, 2010)<br>John P Robertson (603905) (Started Mar 16, 2010)",,,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4A",,"2011","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","John P Robertson (603905) (Ended Sep 28, 2011)<br>Orlando L Cartagena (500603) (Started Sep 28, 2011)",,,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4A",,"2012","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603) (Ended Aug 22, 2012)<br>John Christian Colucci (606772) (Started Aug 22, 2012) (Ended Dec 19, 2012)<br>Orlando L Cartagena (500603) (Started Dec 19, 2012)","John Christian Colucci (606772) (Started Aug 22, 2012) (Ended Aug 22, 2012)<br>Orlando L Cartagena (500603) (Started Aug 22, 2012) (Ended Dec 19, 2012)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4A",,"2013","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)","Leslie E Ross (1680) (Started Feb 25, 2013)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4A","CP0002","2014","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)","Leslie E Ross (1680) (Ended Feb 12, 2014)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4A","CP0002","2015","CSNOX, CSNOXOS, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)",,,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4A","CP0002","2016","CSNOX, CSNOXOS, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)","Andrew Scano (601596) (Started Sep 19, 2016)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4A","CP0002","2017","CSNOX, CSOSG2, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)","Andrew Scano (601596)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4A","CP0002","2018","CSNOX, CSOSG2, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603) (Ended Jun 08, 2018)<br>Andrew Scano (601596) (Started Jun 08, 2018)<br>Frank Ameo (1243) (Started Jun 08, 2018) (Ended Jun 08, 2018)","Andrew Scano (601596) (Ended Jun 08, 2018)<br>Frank Ameo (1243) (Started Jun 08, 2018)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4A","CP0002","2019","CSNOX, CSOSG2, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Andrew Scano (601596)","Frank Ameo (1243)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4A","CP0002","2020","CSNOX, CSOSG2, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC, Astoria Gas Turbine Power LLC","Astoria Energy, LLC, Astoria Gas Turbine Power LLC","Andrew Scano (601596)","Frank Ameo (1243)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4B",,"2009","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Christian Lyhus (604674) (Started Apr 02, 2009)",,,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4B",,"2010","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Christian Lyhus (604674) (Ended Mar 16, 2010)<br>John P Robertson (603905) (Started Mar 16, 2010)",,,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4B",,"2011","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","John P Robertson (603905) (Ended Sep 28, 2011)<br>Orlando L Cartagena (500603) (Started Sep 28, 2011)",,,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4B",,"2012","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603) (Ended Aug 22, 2012)<br>John Christian Colucci (606772) (Started Aug 22, 2012) (Ended Dec 19, 2012)<br>Orlando L Cartagena (500603) (Started Dec 19, 2012)","John Christian Colucci (606772) (Started Aug 22, 2012) (Ended Aug 22, 2012)<br>Orlando L Cartagena (500603) (Started Aug 22, 2012) (Ended Dec 19, 2012)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4B",,"2013","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)","Leslie E Ross (1680) (Started Feb 25, 2013)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4B","CP0002","2014","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)","Leslie E Ross (1680) (Ended Feb 12, 2014)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4B","CP0002","2015","CSNOX, CSNOXOS, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)",,,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4B","CP0002","2016","CSNOX, CSNOXOS, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)","Andrew Scano (601596) (Started Sep 19, 2016)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4B","CP0002","2017","CSNOX, CSOSG2, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)","Andrew Scano (601596)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4B","CP0002","2018","CSNOX, CSOSG2, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603) (Ended Jun 08, 2018)<br>Andrew Scano (601596) (Started Jun 08, 2018)<br>Frank Ameo (1243) (Started Jun 08, 2018) (Ended Jun 08, 2018)","Andrew Scano (601596) (Ended Jun 08, 2018)<br>Frank Ameo (1243) (Started Jun 08, 2018)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4B","CP0002","2019","CSNOX, CSOSG2, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Andrew Scano (601596)","Frank Ameo (1243)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT2-4B","CP0002","2020","CSNOX, CSOSG2, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC, Astoria Gas Turbine Power LLC","Astoria Energy, LLC, Astoria Gas Turbine Power LLC","Andrew Scano (601596)","Frank Ameo (1243)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT3-1A",,"2009","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Christian Lyhus (604674) (Started Apr 02, 2009)",,,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT3-1A",,"2010","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Christian Lyhus (604674) (Ended Mar 16, 2010)<br>John P Robertson (603905) (Started Mar 16, 2010)",,,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT3-1A",,"2011","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","John P Robertson (603905) (Ended Sep 28, 2011)<br>Orlando L Cartagena (500603) (Started Sep 28, 2011)",,,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT3-1A",,"2012","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603) (Ended Aug 22, 2012)<br>John Christian Colucci (606772) (Started Aug 22, 2012) (Ended Dec 19, 2012)<br>Orlando L Cartagena (500603) (Started Dec 19, 2012)","John Christian Colucci (606772) (Started Aug 22, 2012) (Ended Aug 22, 2012)<br>Orlando L Cartagena (500603) (Started Aug 22, 2012) (Ended Dec 19, 2012)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT3-1A",,"2013","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)","Leslie E Ross (1680) (Started Feb 25, 2013)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT3-1A","CP0003","2014","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)","Leslie E Ross (1680) (Ended Feb 12, 2014)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT3-1A","CP0003","2015","CSNOX, CSNOXOS, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)",,,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT3-1A","CP0003","2016","CSNOX, CSNOXOS, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)","Andrew Scano (601596) (Started Sep 19, 2016)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT3-1A","CP0003","2017","CSNOX, CSOSG2, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603)","Andrew Scano (601596)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT3-1A","CP0003","2018","CSNOX, CSOSG2, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Orlando L Cartagena (500603) (Ended Jun 08, 2018)<br>Andrew Scano (601596) (Started Jun 08, 2018)<br>Frank Ameo (1243) (Started Jun 08, 2018) (Ended Jun 08, 2018)","Andrew Scano (601596) (Ended Jun 08, 2018)<br>Frank Ameo (1243) (Started Jun 08, 2018)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT3-1A","CP0003","2019","CSNOX, CSOSG2, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Andrew Scano (601596)","Frank Ameo (1243)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT3-1A","CP0003","2020","CSNOX, CSOSG2, CSSO2G1, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC, Astoria Gas Turbine Power LLC","Astoria Energy, LLC, Astoria Gas Turbine Power LLC","Andrew Scano (601596)","Frank Ameo (1243)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
"NY","Astoria Gas Turbine Power","55243","CT3-1B",,"2009","CAIRNOX, CAIROS, CAIRSO2, RGGI","2","NPCC","Queens County","NY081","081","Electric Utility","40.7864","-73.9133","Astoria Energy, LLC","Astoria Energy, LLC","Christian Lyhus (604674) (Started Apr 02, 2009)",,,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"06/01/1970","Operating","255.0",
